epoch,acc,loss,val_acc,val_loss
0,0.5145557,0.6923659737401637,0.51410604,0.6930502828028687
1,0.51638776,0.6921179581115786,0.5088428,0.6932453525236941
2,0.51777273,0.6918285830579163,0.5140231,0.6933652809545635
3,0.5193322,0.6916643141691395,0.51307,0.6931600557753533
4,0.5201664,0.6914364871565672,0.51106,0.6932761234050401
5,0.52107155,0.6912614382410068,0.5121168,0.693225100521156
6,0.52179676,0.6911429070792122,0.51213753,0.69387905949674
7,0.52290905,0.6910091587998339,0.5137848,0.6941500622632657
8,0.52259827,0.6908662509568253,0.51284206,0.6935780262312001
9,0.524752,0.690742859945745,0.51454115,0.693784551945731
10,0.52505195,0.6905707320299035,0.5118681,0.6945880967069412
